NON_CORRELATED,CORRELATED95,COLUMNS_WITH_NAN
IRBZONMYR,IRNICVAP30N,
IIBZONMYR,IINICVAP30N,
IICRKFY,IRALCFM,
IIHERFY,IIALCFM,
IIINHALYFQ,II2ALCFM,
IIMETHAMYFQ,IRALCBNG30D,
IICOCFM,IIALCBNG30D,
IICRKFM,IRMJFM,
IRHERFM,IIMJFM,
IIHERFM,II2MJFM,
IRHALLUC30N,IRCOCFM,
IIHALLUC30N,II2COCFM,
IRINHAL30N,IRCRKFM,
IIINHAL30N,II2CRKFM,
IIMETHAM30N,II2HERFM,
IIPNRNM30FQ,IRMETHAM30N,
IITRQNM30FQ,IRPNRNM30FQ,
IISTMNM30FQ,IRTRQNM30FQ,
IISEDNM30FQ,IRSTMNM30FQ,
IIPNRNMINIT,IRSEDNM30FQ,
IITRQNMINIT,IRCIGAGE,
IISTMNMINIT,IICIGAGE,
IISEDNMINIT,IRCIGYFU,
IRPNRNMYFU,IICIGYFU,
IIPNRNMYFU,IRCDUAGE,
IITRQNMYFU,IICDUAGE,
IISTMNMYFU,IRCD2YFU,
IRSEDNMYFU,IICD2YFU,
IISEDNMYFU,IRCGRAGE,
CIGYR,IICGRAGE,
CGRYR,IRCGRYFU,
PIPMON,IICGRYFU,
SMKLSSYR,IRSMKLSSTRY,
TOBFLAG,IISMKLSSTRY,
TOBYR,IRSMKLSSYFU,
TOBMON,IISMKLSSYFU,
NICVAPYR,IRNICVAPAGE,
TOBVNICFLAG,IINICVAPAGE,
TOBVNICYR,IRNICVAPYFU,
TOBVNICMON,IINICVAPYFU,
TOBVAPONL2,IRALCAGE,
TOBCIGVAP2,IIALCAGE,
CBDHMPYR,IRALCYFU,
CBDHMPMON,IIALCYFU,
MJSMKYR,IRMJAGE,
MJVAPYR,IIMJAGE,
MJDABYR,IRMJYFU,
MJEATYR,IIMJYFU,
MJMTHYR,IRCOCAGE,
MJSKNYR,IICOCAGE,
MJPLLYR,IRCOCYFU,
MJOTHYR,IICOCYFU,
MJCMOTHYR,IRCRKAGE,
MJSMKMON,IICRKAGE,
MJVAPMON,IRCRKYFU,
MJDABMON,IICRKYFU,
MJEATMON,IRHERAGE,
MJMTHMON,IIHERAGE,
MJSKNMON,IRHERYFU,
MJPLLMON,IIHERYFU,
MJCMOTHMON,IRHALLUCAGE,
LSDYR,IIHALLUCAGE,
LSDMON,IRHALLUCYFU,
PCPYR,IIHALLUCYFU,
PCPMON,IRLSDAGE,
ECSTMOYR,IILSDAGE,
ECSTMOMON,IRLSDYFU,
DAMTFXYR,IILSDYFU,
DAMTFXMON,IRPCPAGE,
KETMINYR,IIPCPAGE,
KETMINMON,IRPCPYFU,
SALVIAYR,IIPCPYFU,
SALVIAMON,IRECSTMOAGE,
PNRANYYR,IIECSTMOAGE,
TRQANYYR,IRECSTMOYFU,
STMANYYR,IIECSTMOYFU,
SEDANYYR,IRINHALAGE,
TQSDANYFLG,IIINHALAGE,
TQSDANYYR,IRINHALYFU,
PSYANYFLAG,IIINHALYFU,
PSYANYYR,IRMETHAMAGE,
CNSANYYR,IIMETHAMAGE,
TQSDNMFLAG,IRMETHAMYFU,
TQSDNMYR,IIMETHAMYFU,
TQSDNMMON,IRPNRNMINIT,
PSYCHFLAG,IRTRQNMINIT,
PSYCHYR,IRSTMNMINIT,
PSYCHMON,IRSEDNMINIT,
OPINMMON,IRPNRNMAGE,
CNSNMYR,IIPNRNMAGE,
CNSNMMON,IRTRQNMYFU,
ILLFLAG,IRTRQNMAGE,
ILLYR,IITRQNMAGE,
